"","stage","strain","treat","Tray","day","co2_hourly","mass","co2massmin"
"217","L","UZ",2,"16,23 1228",7,1.99992319093285,0.0869,0.383567930750451
"218","L","UZ",2,"16,23 1228",7,2.26235930006479,0.077,0.489688160187183
"219","L","UZ",2,"16,23 1228",7,1.69092708600768,0.081,0.347927383952198
"220","L","UZ",2,"16,23 1228",7,2.33246273844847,0.0873,0.445296437275385
"221","L","UZ",2,"16,23 1228",7,2.75658006295905,0.0977,0.470245660689022
"222","L","UZ",2,"16,23 1228",7,2.64499083557949,0.1251,0.352383537913601
"223","L","UZ",2,"16,23 1228",7,2.59143348379152,0.1093,0.395156066451894
"224","L","UZ",2,"16,23 1228",7,2.26525136123524,0.0873,0.432464941052929
"225","L","UZ",2,"16,23 1228",7,3.11911689460978,0.108,0.48134519978546
"226","L","UZ",2,"16,23 1228",7,2.42758218527313,0.0862,0.469370105427906
"227","L","UZ",2,"16,23 1228",7,2.44730752941174,0.0857,0.475944677054013
"228","L","UZ",2,"16,23 1228",7,2.88818512332488,0.1101,0.437206346249603
"229","L","UZ",2,"16,23 1228",7,3.41646583253124,0.103,0.552826186493728
"230","L","UZ",2,"16,23 1228",7,2.97981743276746,0.1163,0.427030299909352
"231","L","UZ",2,"16,23 1228",7,2.93266530612241,0.0801,0.610209177303872
"232","L","UZ",2,"16,23 1228",7,2.35955845030878,0.0815,0.482527290451694
"233","L","UZ",2,"16,23 1228",7,2.78692068325284,0.1095,0.424188840677753
"234","L","UZ",2,"16,23 1228",7,2.39971671263096,0.0805,0.496835758308688
"235","L","UZ",2,"16,23 1228",7,3.25843005653834,0.1207,0.44993510860789
"236","L","UZ",2,"16,23 1228",7,2.3846613410446,0.0782,0.508239842507375
"237","L","UZ",2,"16,23 1228",7,2.35506076357766,0.0752,0.521954956466681
"238","L","UZ",2,"16,23 1228",7,3.46916372043387,0.1152,0.501904473442401
"239","L","UZ",1,"12,23 1228",7,4.4128868523087,0.1063,0.691891949248777
"240","L","UZ",1,"12,23 1228",7,5.36864884856934,0.1178,0.759571144392946
"241","L","UZ",1,"12,23 1228",7,3.79911844057265,0.108,0.586283709964915
"242","L","UZ",1,"12,23 1228",7,3.32059764705877,0.1337,0.41393638083505
"243","L","UZ",1,"12,23 1228",7,5.252136570663,0.1137,0.769882229648638
"244","L","UZ",1,"12,23 1228",7,4.02698454410054,0.1134,0.591855459156459
"245","L","UZ",1,"12,23 1228",6,4.74242437745732,0.1003,0.788039943080313
"246","L","UZ",1,"12,23 1228",6,3.34741719281199,0.1135,0.491544374862259
"247","L","UZ",1,"12,23 1228",6,5.01111230769223,0.1283,0.650962887463266
"248","L","UZ",1,"12,23 1228",6,4.72783460076037,0.1365,0.577269182022024
"249","L","UZ",1,"12,23 1228",6,4.8307127819548,0.1269,0.63445137666861
"250","L","UZ",1,"12,23 1228",6,3.56868635097487,0.121,0.491554593798191
"251","L","UZ",1,"12,23 1228",6,2.91612689655167,0.1184,0.410490835663242
"252","L","UZ",1,"12,23 1228",6,4.21138423211294,0.0919,0.763762102305575
"253","L","UZ",1,"12,23 1228",4,4.58392349531868,0.1094,0.698343006599434
"254","L","UZ",1,"12,23 1228",4,4.18524580332199,0.1175,0.593651886996026
"255","L","UZ",1,"12,23 1228",4,4.22713162641831,0.0973,0.724071878454661
"256","L","UZ",1,"12,23 1228",4,2.68987325079177,0.0935,0.479478297823845
"257","L","UZ",1,"12,23 1228",4,4.22289840546689,0.1118,0.629531664500133
"258","L","UZ",1,"12,23 1228",4,3.56029095519858,0.0996,0.595764885408062
"259","L","UZ",1,"12,23 1228",4,3.42314767555487,0.0766,0.74481019920689
"260","L","UZ",1,"12,23 1228",4,3.42332170071777,0.0938,0.60826611597686
"261","L","UZ",1,"12,23 1228",4,2.36449664796821,0.0796,0.49507886263991
"262","L","UZ",1,"12,23 1228",4,3.07912115123535,0.1029,0.498723866413241
"263","L","UZ",2,"16,23 1228",10,0.243356850935685,0.0558,0.0726872314622715
"264","L","UZ",1,"12,23 1228",10,2.81497423935091,0.0966,0.485675334601607
"265","L","UZ",1,"12,23 1228",10,2.73679215686274,0.1119,0.407624688242887
"266","L","UZ",1,"12,23 1228",10,2.56145445478723,0.1067,0.400102226614688
"267","L","UZ",1,"12,23 1228",10,1.10770563798219,0.1011,0.182608908338641
"268","L","UZ",1,"12,23 1228",10,3.58213023408086,0.126,0.473826750539796
"269","L","UZ",1,"12,23 1228",10,1.45531212465508,0.1045,0.232107196914687
"270","L","UZ",1,"12,23 1228",9,1.67453599742184,0.1016,0.274694225298859
"271","L","UZ",1,"12,23 1228",9,1.84050244760838,0.1099,0.279117750623048
"272","L","UZ",1,"12,23 1228",9,3.33285905536439,0.1467,0.378647927217041
"273","L","UZ",1,"12,23 1228",9,2.90092793296088,0.1339,0.361081395688435
